Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,1,3067,13240,23127,3941,9959,731
2,1,4484,14399,24708,3549,14235,1681
1,1,25203,11487,9490,5065,284,6854
1,1,583,685,2216,469,954,18
1,1,1956,891,5226,1383,5,1328
2,1,1107,11711,23596,955,9265,710
1,1,6373,780,950,878,288,285
2,1,2541,4737,6089,2946,5316,120
1,1,1537,3748,5838,1859,3381,806
2,1,5550,12729,16767,864,12420,797
1,1,18567,1895,1393,1801,244,2100
2,1,12119,28326,39694,4736,19410,2870
1,1,7291,1012,2062,1291,240,1775
1,1,3317,6602,6861,1329,3961,1215
2,1,2362,6551,11364,913,5957,791
1,1,2806,10765,15538,1374,5828,2388
2,1,2532,16599,36486,179,13308,674
1,1,18044,1475,2046,2532,130,1158
2,1,18,7504,15205,1285,4797,6372
1,1,4155,367,1390,2306,86,130
1,1,14755,899,1382,1765,56,749
1,1,5396,7503,10646,91,4167,239
1,1,5041,1115,2856,7496,256,375
2,1,2790,2527,5265,5612,788,1360
1,1,7274,659,1499,784,70,659
1,1,12680,3243,4157,660,761,786
2,1,20782,5921,9212,1759,2568,1553
1,1,4042,2204,1563,2286,263,689
1,1,1869,577,572,950,4762,203
1,1,8656,2746,2501,6845,694,980
2,1,11072,5989,5615,8321,955,2137
1,1,2344,10678,3828,1439,1566,490
1,1,25962,1780,3838,638,284,834
1,1,964,4984,3316,937,409,7
1,1,15603,2703,3833,4260,325,2563
1,1,1838,6380,2824,1218,1216,295
1,1,8635,820,3047,2312,415,225
1,1,18692,3838,593,4634,28,1215
1,1,7363,475,585,1112,72,216
1,1,47493,2567,3779,5243,828,2253
1,1,22096,3575,7041,11422,343,2564
1,1,24929,1801,2475,2216,412,1047
1,1,18226,659,2914,3752,586,578
1,1,11210,3576,5119,561,1682,2398
1,1,6202,7775,10817,1183,3143,1970
2,1,3062,6154,13916,230,8933,2784
1,1,8885,2428,1777,1777,430,610
1,1,13569,346,489,2077,44,659
1,1,15671,5279,2406,559,562,572
1,1,8040,3795,2070,6340,918,291
1,1,3191,1993,1799,1730,234,710
2,1,6134,23133,33586,6746,18594,5121
1,1,6623,1860,4740,7683,205,1693
1,1,29526,7961,16966,432,363,1391
1,1,10379,17972,4748,4686,1547,3265
1,1,31614,489,1495,3242,111,615
1,1,11092,5008,5249,453,392,373
1,1,8475,1931,1883,5004,3593,987
1,1,56083,4563,2124,6422,730,3321
1,1,53205,4959,7336,3012,967,818
1,1,9193,4885,2157,327,780,548
1,1,7858,1110,1094,6818,49,287
1,1,23257,1372,1677,982,429,655
1,1,2153,1115,6684,4324,2894,411
2,1,1073,9679,15445,61,5980,1265
1,1,5909,23527,13699,10155,830,3636
2,1,572,9763,22182,2221,4882,2563
1,1,20893,1222,2576,3975,737,3628
2,1,11908,8053,19847,1069,6374,698
1,1,15218,258,1138,2516,333,204
1,1,4720,1032,975,5500,197,56
1,1,2083,5007,1563,1120,147,1550
1,1,514,8323,6869,529,93,1040
1,3,36817,3045,1493,4802,210,1824
1,3,894,1703,1841,744,759,1153
1,3,680,1610,223,862,96,379
1,3,27901,3749,6964,4479,603,2503
1,3,9061,829,683,16919,621,139
1,3,11693,2317,2543,5845,274,1409
2,3,17360,6200,9694,1293,3620,1721
1,3,3366,2884,2431,977,167,1104
2,3,12238,7108,6235,1093,2328,2079
1,3,49063,3965,4252,5970,1041,1404
1,3,25767,3613,2013,10303,314,1384
1,3,68951,4411,12609,8692,751,2406
1,3,40254,640,3600,1042,436,18
1,3,7149,2247,1242,1619,1226,128
1,3,15354,2102,2828,8366,386,1027
1,3,16260,594,1296,848,445,258
1,3,42786,286,471,1388,32,22
1,3,2708,2160,2642,502,965,1522
1,3,6022,3354,3261,2507,212,686
1,3,2838,3086,4329,3838,825,1060
2,2,3996,11103,12469,902,5952,741
1,2,21273,2013,6550,909,811,1854
2,2,7588,1897,5234,417,2208,254
1,2,19087,1304,3643,3045,710,898
2,2,8090,3199,6986,1455,3712,531
2,2,6758,4560,9965,934,4538,1037
1,2,444,879,2060,264,290,259
2,2,16448,6243,6360,824,2662,2005
2,2,5283,13316,20399,1809,8752,172
2,2,2886,5302,9785,364,6236,555
2,2,2599,3688,13829,492,10069,59
2,2,161,7460,24773,617,11783,2410
2,2,243,12939,8852,799,3909,211
2,2,6468,12867,21570,1840,7558,1543
1,2,17327,2374,2842,1149,351,925
1,2,6987,1020,3007,416,257,656
2,2,918,20655,13567,1465,6846,806
1,2,7034,1492,2405,12569,299,1117
1,2,29635,2335,8280,3046,371,117
2,2,2137,3737,19172,1274,17120,142
1,2,9784,925,2405,4447,183,297
1,2,10617,1795,7647,1483,857,1233
2,2,1479,14982,11924,662,3891,3508
1,2,7127,1375,2201,2679,83,1059
1,2,1182,3088,6114,978,821,1637
1,2,11800,2713,3558,2121,706,51
2,2,9759,25071,17645,1128,12408,1625
1,2,1774,3696,2280,514,275,834
1,2,9155,1897,5167,2714,228,1113
1,2,15881,713,3315,3703,1470,229
1,2,13360,944,11593,915,1679,573
1,2,25977,3587,2464,2369,140,1092
1,2,32717,16784,13626,60869,1272,5609
1,2,4414,1610,1431,3498,387,834
1,2,542,899,1664,414,88,522
1,2,16933,2209,3389,7849,210,1534
1,2,5113,1486,4583,5127,492,739
1,2,9790,1786,5109,3570,182,1043
2,2,11223,14881,26839,1234,9606,1102
1,2,22321,3216,1447,2208,178,2602
2,2,8565,4980,67298,131,38102,1215
2,2,16823,928,2743,11559,332,3486
2,2,27082,6817,10790,1365,4111,2139
1,2,13970,1511,1330,650,146,778
1,2,9351,1347,2611,8170,442,868
1,2,3,333,7021,15601,15,550
1,2,2617,1188,5332,9584,573,1942
2,3,381,4025,9670,388,7271,1371
2,3,2320,5763,11238,767,5162,2158
1,3,255,5758,5923,349,4595,1328
2,3,1689,6964,26316,1456,15469,37
1,3,3043,1172,1763,2234,217,379
1,3,1198,2602,8335,402,3843,303
2,3,2771,6939,15541,2693,6600,1115
2,3,27380,7184,12311,2809,4621,1022
1,3,3428,2380,2028,1341,1184,665
2,3,5981,14641,20521,2005,12218,445
1,3,3521,1099,1997,1796,173,995
2,3,1210,10044,22294,1741,12638,3137
1,3,608,1106,1533,830,90,195
2,3,117,6264,21203,228,8682,1111
1,3,14039,7393,2548,6386,1333,2341
1,3,190,727,2012,245,184,127
1,3,22686,134,218,3157,9,548
2,3,37,1275,22272,137,6747,110
1,3,759,18664,1660,6114,536,4100
1,3,796,5878,2109,340,232,776
1,3,19746,2872,2006,2601,468,503
1,3,4734,607,864,1206,159,405
1,3,2121,1601,2453,560,179,712
1,3,4627,997,4438,191,1335,314
1,3,2615,873,1524,1103,514,468
2,3,4692,6128,8025,1619,4515,3105
1,3,9561,2217,1664,1173,222,447
1,3,3477,894,534,1457,252,342
1,3,22335,1196,2406,2046,101,558
1,3,6211,337,683,1089,41,296
2,3,39679,3944,4955,1364,523,2235
1,3,20105,1887,1939,8164,716,790
1,3,3884,3801,1641,876,397,4829
2,3,15076,6257,7398,1504,1916,3113
1,3,6338,2256,1668,1492,311,686
1,3,5841,1450,1162,597,476,70
2,3,3136,8630,13586,5641,4666,1426
1,3,38793,3154,2648,1034,96,1242
1,3,3225,3294,1902,282,68,1114
2,3,4048,5164,10391,130,813,179
1,3,28257,944,2146,3881,600,270
1,3,17770,4591,1617,9927,246,532
1,3,34454,7435,8469,2540,1711,2893
